"Variable / Field Name","Form Name","Section Header","Field Type","Field Label","Choices, Calculations, OR Slider Labels","Field Note","Text Validation Type OR Show Slider Number","Text Validation Min","Text Validation Max",Identifier?,"Branching Logic (Show field only if...)","Required Field?","Custom Alignment","Question Number (surveys only)","Matrix Group Name","Matrix Ranking?","Field Annotation"
national_entry,admin_1_unit_and_updates,,yesno,"You have not indicated an first level administrative unit. Are you entering data for national-level policy?",,,,,,,"([adm1]="""" AND ([us_only_adminlevel]="""" OR [us_only_adminlevel]=""1"")) OR [us_only_adminlevel]=""0""",y,,,,,
adm_lowest,admin_1_unit_and_updates,,text,"<div class=""rich-text-field-label""><p>Name of the lowest-level administrative division (e.g., name of the city or county, when applicable)</p> <p><em>Leave blank if entering data for country or admin 1 (state/province) unit. </em></p></div>",,,,,,,"[country]!=""USA"" OR ([country]=""USA"" AND [us_only_adminlevel]=3)",,,,,,
updated_domains,admin_1_unit_and_updates,,checkbox,"Please indicate whether there have been any updates in each of the following policy areas for the geographic area selected. If there are no updates that have been made since the previous update, mark 'no updates.'
","closed_border_up, Border closures | symp_screening_up, Symptom screening at borders | quar_iso_up, Quarantine and Self-Isolation | household_confined_up, Household confinement | limited_mvt_up, Limiting movement within administrative unit borders | school_closed_up, School closures | nursing_home_closed_up, Nursing homes and long-term care facilities | office_closed_up, Office closures | religious_closed_up, Religious venue closures | entertainment_closed_up, Leisure and entertainment venue closures | restaurant_closed_up, Restaurant (dine-in) closures and restrictions | store_closed_up, Retail store closures | public_transport_closed_up, Public transport closures | public_space_closed_up, Public space closures | social_group_limits_up, Limiting gatherings | contact_tracing_up, Contact tracing | testing_symp_up, Testing symptomatic individuals | testing_asymp_up, Testing asymptomatic individuals | enforcement_deployed_up, Military and/or Police Deployment | state_of_emergency_up, State of emergency | mask_up, Mandated face mask use | others_up, Other interventions | mobile_up, Mobile phone interventions (OPTIONAL) | behavior_up, Behavior change interventions (OPTIONAL) | public_funding_up, Public Funding of Research (OPTIONAL) | econ_up, Economic and Social Saftey Net Measures (OPTIONAL) | no_updates, No updates",,,,,,,y,,,,," @NONEOFTHEABOVE=no_updates"
closed_border_specific,border_closures,"Border Closures",checkbox,"What has changed in terms of restrictions?","1, restrictions for people coming in by air | 2, restrictions for people coming in by land | 3, restrictions for people coming in by sea | 4, restrictions for people leaving by air | 5, restrictions for people leaving by land | 6, restrictions for people leaving by sea",,,,,,,y,,,,,
closed_border_in_air_status,border_closures,,dropdown,"What is the updated status on restrictions on people coming in by air travel?","1, closed | 2, partially closed | 3, open | 9, unknown",,,,,,[closed_border_specific(1)]=1,y,,,,," @HIDECHOICE='9'"
closed_border_in_air_pop,border_closures,,dropdown,"For partially closed borders, for which subpopulations are there restrictions for coming in by air travel?","2, geographic subpopulation | 3, other subpopulation",,,,,,"[closed_border_specific(1)]=1 AND [closed_border_in_air_status]=2",y,,,,,
closed_border_in_air_t,border_closures,,text,"When did this change occur?",,,date_dmy,2019-12-30,,,"[closed_border_specific(1)]=1 AND [closed_border_in_air_status]<>9",y,,,,,
closed_border_in_air_details,border_closures,,notes,Details,,,,,,,[closed_border_specific(1)]=1,,,,,,
closed_border_in_land_status,border_closures,,dropdown,"What is the updated status on restrictions related to people coming in by land?","1, closed | 2, partially closed | 3, open | 9, unknown",,,,,,[closed_border_specific(2)]=1,y,,,,," @HIDECHOICE='9'"
closed_border_in_land_pop,border_closures,,dropdown,"For partially closed borders, for which subpopulations are there restrictions for coming in by land?","2, geographic subpopulation | 3, other subpopulation",,,,,,"[closed_border_specific(2)]=1 AND [closed_border_in_land_status]=2",y,,,,,
closed_border_in_land_t,border_closures,,text,"When did this change occur?",,,date_dmy,2019-12-30,,,"[closed_border_specific(2)]=1 AND [closed_border_in_land_status]<>9",y,,,,,
closed_border_in_land_details,border_closures,,notes,Details,,,,,,,[closed_border_specific(2)]=1,,,,,,
closed_border_in_sea_status,border_closures,,dropdown,"What is the updated status on restrictions on people coming in by sea?","1, closed | 2, partially closed | 3, open | 9, unknown",,,,,,[closed_border_specific(3)]=1,y,,,,," @HIDECHOICE='9'"
closed_border_in_sea_pop,border_closures,,dropdown,"For partially closed borders, for which subpopulations are there restrictions for coming in by sea?","2, geographic subpopulation | 3, other subpopulation",,,,,,"[closed_border_specific(3)]=1 AND [closed_border_in_sea_status]=2",y,,,,,
closed_border_in_sea_t,border_closures,,text,"When did this change occur?",,,date_dmy,2019-12-30,,,"[closed_border_specific(3)]=1 AND [closed_border_in_sea_status]<>9",y,,,,,
closed_border_in_sea_details,border_closures,,notes,Details,,,,,,,[closed_border_specific(3)]=1,,,,,,
closed_border_out_air_status,border_closures,,dropdown,"What is the updated status on restrictions on people leaving by air travel?","1, closed | 2, partially closed | 3, open | 9, unknown",,,,,,[closed_border_specific(4)]=1,y,,,,," @HIDECHOICE='9'"
closed_border_out_air_pop,border_closures,,dropdown,"For partially closed borders, for which subpopulations are there restrictions for leaving by air travel?","2, geographic subpopulation | 3, other subpopulation",,,,,,"[closed_border_specific(4)]=1 AND [closed_border_out_air_status]=2",y,,,,,
closed_border_out_air_t,border_closures,,text,"When did this change occur?",,,date_dmy,2019-12-30,,,"[closed_border_specific(4)]=1 AND [closed_border_out_air_status]<>9",y,,,,,
closed_border_out_air_details,border_closures,,notes,Details,,,,,,,[closed_border_specific(4)]=1,,,,,,
closed_border_out_land_status,border_closures,,dropdown,"What is the updated status on restrictions on people leaving by land?","1, closed | 2, partially closed | 3, open | 9, unknown",,,,,,[closed_border_specific(5)]=1,y,,,,," @HIDECHOICE='9'"
