"Variable / Field Name","Form Name","Section Header","Field Type","Field Label","Choices, Calculations, OR Slider Labels","Field Note","Text Validation Type OR Show Slider Number","Text Validation Min","Text Validation Max",Identifier?,"Branching Logic (Show field only if...)","Required Field?","Custom Alignment","Question Number (surveys only)","Matrix Group Name","Matrix Ranking?","Field Annotation"
closed_border_in_air_status,border_closures,,dropdown,"What is the updated status on restrictions on people coming in by air travel?","1, closed | 2, partially closed | 3, open | 9, unknown",,,,,,[closed_border_specific(1)]=1,y,,,,," @HIDECHOICE='9'"
closed_border_in_air_pop,border_closures,,dropdown,"For partially closed borders, for which subpopulations are there restrictions for coming in by air travel?","2, geographic subpopulation | 3, other subpopulation",,,,,,"[closed_border_specific(1)]=1 AND [closed_border_in_air_status]=2",y,,,,,
closed_border_in_air_t,border_closures,,text,"When did this change occur?",,,date_dmy,2019-12-30,,,"[closed_border_specific(1)]=1 AND [closed_border_in_air_status]<>9",y,,,,,
closed_border_in_air_details,border_closures,,notes,Details,,,,,,,[closed_border_specific(1)]=1,,,,,,
closed_border_in_land_status,border_closures,,dropdown,"What is the updated status on restrictions related to people coming in by land?","1, closed | 2, partially closed | 3, open | 9, unknown",,,,,,[closed_border_specific(2)]=1,y,,,,," @HIDECHOICE='9'"
closed_border_in_land_pop,border_closures,,dropdown,"For partially closed borders, for which subpopulations are there restrictions for coming in by land?","2, geographic subpopulation | 3, other subpopulation",,,,,,"[closed_border_specific(2)]=1 AND [closed_border_in_land_status]=2",y,,,,,
closed_border_in_land_t,border_closures,,text,"When did this change occur?",,,date_dmy,2019-12-30,,,"[closed_border_specific(2)]=1 AND [closed_border_in_land_status]<>9",y,,,,,
closed_border_in_land_details,border_closures,,notes,Details,,,,,,,[closed_border_specific(2)]=1,,,,,,
closed_border_in_sea_status,border_closures,,dropdown,"What is the updated status on restrictions on people coming in by sea?","1, closed | 2, partially closed | 3, open | 9, unknown",,,,,,[closed_border_specific(3)]=1,y,,,,," @HIDECHOICE='9'"
closed_border_in_sea_pop,border_closures,,dropdown,"For partially closed borders, for which subpopulations are there restrictions for coming in by sea?","2, geographic subpopulation | 3, other subpopulation",,,,,,"[closed_border_specific(3)]=1 AND [closed_border_in_sea_status]=2",y,,,,,
closed_border_in_sea_t,border_closures,,text,"When did this change occur?",,,date_dmy,2019-12-30,,,"[closed_border_specific(3)]=1 AND [closed_border_in_sea_status]<>9",y,,,,,
closed_border_in_sea_details,border_closures,,notes,Details,,,,,,,[closed_border_specific(3)]=1,,,,,,
closed_border_out_air_status,border_closures,,dropdown,"What is the updated status on restrictions on people leaving by air travel?","1, closed | 2, partially closed | 3, open | 9, unknown",,,,,,[closed_border_specific(4)]=1,y,,,,," @HIDECHOICE='9'"
closed_border_out_air_pop,border_closures,,dropdown,"For partially closed borders, for which subpopulations are there restrictions for leaving by air travel?","2, geographic subpopulation | 3, other subpopulation",,,,,,"[closed_border_specific(4)]=1 AND [closed_border_out_air_status]=2",y,,,,,
closed_border_out_air_t,border_closures,,text,"When did this change occur?",,,date_dmy,2019-12-30,,,"[closed_border_specific(4)]=1 AND [closed_border_out_air_status]<>9",y,,,,,
closed_border_out_air_details,border_closures,,notes,Details,,,,,,,[closed_border_specific(4)]=1,,,,,,
closed_border_out_land_status,border_closures,,dropdown,"What is the updated status on restrictions on people leaving by land?","1, closed | 2, partially closed | 3, open | 9, unknown",,,,,,[closed_border_specific(5)]=1,y,,,,," @HIDECHOICE='9'"
closed_border_out_land_pop,border_closures,,dropdown,"For partially closed borders, for which subpopulations are there restrictions for leaving by land?","2, geographic subpopulation | 3, other subpopulation",,,,,,"[closed_border_specific(5)]=1 AND [closed_border_out_land_status]=2",y,,,,,
closed_border_out_land_t,border_closures,,text,"When did this change occur?",,,date_dmy,2019-12-30,,,"[closed_border_specific(5)]=1 AND [closed_border_out_land_status]<>9",y,,,,,
closed_border_out_land_details,border_closures,,notes,Details,,,,,,,[closed_border_specific(5)]=1,,,,,,
closed_border_out_sea_status,border_closures,,dropdown,"What is the updated status on restrictions on people leaving by sea?","1, closed | 2, partially closed | 3, open | 9, unknown",,,,,,[closed_border_specific(6)]=1,y,,,,," @HIDECHOICE='9'"
closed_border_out_sea_pop,border_closures,,dropdown,"For partially closed borders, for which subpopulations are there restrictions for leaving by sea?","2, geographic subpopulation | 3, other subpopulation",,,,,,"[closed_border_specific(6)]=1 AND [closed_border_out_sea_status]=2",y,,,,,
closed_border_out_sea_t,border_closures,,text,"When did this change occur?",,,date_dmy,2019-12-30,,,"[closed_border_specific(6)]=1 AND [closed_border_out_sea_status]<>9",y,,,,,
closed_border_out_sea_details,border_closures,,notes,Details,,,,,,,[closed_border_specific(6)]=1,,,,,,
closed_border_source,border_closures,,file,"Source document(s) ",,"Make a pdf from the source document(s) and upload here. If multiple documents create a .zip file and upload the zipped directory.",,,,,"([closed_border_specific(1)]=1 AND [closed_border_in_air_status]<>9) OR
([closed_border_specific(2)]=1 AND [closed_border_in_land_status]<>9) OR
([closed_border_specific(3)]=1 AND [closed_border_in_sea_status]<>9) OR
([closed_border_specific(4)]=1 AND [closed_border_out_air_status]<>9) OR
([closed_border_specific(5)]=1 AND [closed_border_out_land_status]<>9) OR
([closed_border_specific(6)]=1 AND [closed_border_out_sea_status]<>9)",y,,,,,
closed_border_url,border_closures,,notes,"Link to source online",,,,,,,"([closed_border_specific(1)]=1 AND [closed_border_in_air_status]<>9) OR
([closed_border_specific(2)]=1 AND [closed_border_in_land_status]<>9) OR
([closed_border_specific(3)]=1 AND [closed_border_in_sea_status]<>9) OR
([closed_border_specific(4)]=1 AND [closed_border_out_air_status]<>9) OR
([closed_border_specific(5)]=1 AND [closed_border_out_land_status]<>9) OR
([closed_border_specific(6)]=1 AND [closed_border_out_sea_status]<>9)",,,,,,
limited_mvt_status,limiting_movement_within_administrative_unit_borde,"<div class=""rich-text-field-label""><p>Limiting Movement within Administrative Unit Borders</p> <p><em>Note:</em><br /><em>- This section captures closures of sub-areas (towns, cities,counties) and closures of roads between them<br />- This section does NOT include household confinement orders (including curfews), quarantine, self-isolation or border closures.</em></p></div>",dropdown,"What is the updated status on restricting movement for individuals within the borders of the administrative unit?","1, fully restricted | 2, partially restricted | 3, unrestricted | 9, unknown",,,,,,,y,,,,," @HIDECHOICE='9'"
limited_mvt_pop,limiting_movement_within_administrative_unit_borde,,dropdown,"For partially restricted movement, to which population does this policy apply?","1, entire population|2, geographic subpopulation | 3, other subpopulation",,,,,,[limited_mvt_status]=2,y,,,,,
limited_mvt_t,limiting_movement_within_administrative_unit_borde,,text,"When did this change occur?",,,date_dmy,2019-12-30,,,,y,,,,,
limited_mvt_details,limiting_movement_within_administrative_unit_borde,,notes,Details,,,,,,,"[limited_mvt_status] <> 9",,,,,,
limited_mvt_source,limiting_movement_within_administrative_unit_borde,,file,"Source document(s) ",,"Make a pdf from the source document(s) and upload here. If multiple documents create a .zip file and upload the zipped directory.",,,,,"[limited_mvt_status] <> 9",y,,,,,
limited_mvt_url,limiting_movement_within_administrative_unit_borde,,notes,url,,,,,,,"[limited_mvt_status] <> 9",,,,,,
household_confined_status,household_confinement,"<div class=""rich-text-field-label""><p>Household Confinement<br /><br /></p> <p><em>Note: mandates almost always include provisions for leaving home for essential reasons including groceries, medical emergencies and sometimes excercise. note expections in details if possible.</em></p></div>",dropdown,"<div class=""rich-text-field-label""><p>Are there policies restricting people to their households?<br /><br /><em><span style=""font-weight: normal;"">Notes: </span></em></p> <p><em><span style=""font-weight: normal;"">- partial restriction refers to situations where there may be curfews or limited movement during specific periods.</span></em></p> <p><em><span style=""font-weight: normal;"">- this is different from home-isolation of cases and quarantine of potentially exposed groups (see home-isolation/quarantine sub-survey)</span></em></p></div>","1, fully restricted | 2, partially restricted | 3, unrestricted | 9, unknown",,,,,,,y,,,,," @HIDECHOICE='9'"
household_confined_pop,household_confinement,,dropdown,"To which population does this policy apply?","1, entire population|2, geographic subpopulation | 3, other subpopulation",,,,,,"[household_confined_status]=2 OR [household_confined_status]=1",y,,,,,
household_confined_required,household_confinement,,dropdown,"Is this required or only a recommendation?","1, recommended | 2, required | 9, unknown",,,,,,[household_confined_status]<>9,y,,,,,
household_confined_enforcement,household_confinement,,yesno,"Is this confinement being enforced by police or military?",,,,,,,"[household_confined_status]=1 OR [household_confined_status]=2",,,,,,
household_confined_t,household_confinement,,text,"Date of policy change",,,date_dmy,2019-12-30,,,[household_confined_status]<>9,y,,,,,
household_confined_desc,household_confinement,,notes,Details,,,,,,,[household_confined_status]<>9,,,,,,
household_confined_source,household_confinement,,file,"Source document(s) ",,"Make a pdf from the source document(s) and upload here. If multiple documents create a .zip file and upload the zipped directory.",,,,,[household_confined_status]<>9,y,,,,,
household_confined_url,household_confinement,,notes,url,,,,,,,[household_confined_status]<>9,,,,,,
quar_iso_choice,quarantine_and_homeisolation,"<div class=""rich-text-field-label""><p>Quarantine<span style=""font-weight: normal;""> specifically refers to separating and restricting the movement of individuals who may have been exposed, but have not shown symptoms nor have been confirmed to have been infected.</span><br /><br />Home-Isolation<span style=""font-weight: normal;""> separates those who are symptomatic or have a confirmed infection.</span><br /><br /><span style=""font-weight: normal;"">See the CDC website for clarification https://www.cdc.gov/quarantine/index.html</span></p></div>",dropdown,"Have policies surrounding both quarantine and home-isolation changed?","1, quarantine only | 2, home-isolation only | 3, both",,,,,,,y,,,,,
quar_pop,quarantine_and_homeisolation,,checkbox,"For which populations have quarantine measures changed since the last update?","1, travelers | 2, contacts of confirmed cases | 3, contacts of suspected (symptomatic) cases | 4, other",,,,,,"[quar_iso_choice] <> 2",y,,,,,
quar_travel_status,quarantine_and_homeisolation,,dropdown,"What is the current status of quarantine measures for travelers?","0, none | 1, recommended | 2, required",,,,,,[quar_pop(1)]=1,y,,,,,
quar_travel_duration,quarantine_and_homeisolation,,text,"<div class=""rich-text-field-label""><p>How long does the quarantine last for travelers? <br /><br /> <em><span style=""font-weight: normal;"">(i.e. this is typically days from arriving but please note if other)</span></em></p></div>",,,number,0,,,[quar_pop(1)]=1,,,,,,
quar_travel_t,quarantine_and_homeisolation,,text,"Date of policy change (travelers)",,,date_dmy,2019-12-30,,,[quar_pop(1)]=1,y,,,,,
quar_confirm_status,quarantine_and_homeisolation,,dropdown,"What is the current status of quarantine measures for contacts of confirmed cases?","0, none | 1, recommended | 2, required",,,,,,[quar_pop(2)]=1,y,,,,,
quar_confirm_duration,quarantine_and_homeisolation,,text,"<div class=""rich-text-field-label""><p>How long does the quarantine last for contacts of confirmed cases? <br /><br /><em><span style=""font-weight: normal;"">(this is typically days since last exposure but please note if other)</span></em></p></div>",,,number,0,,,[quar_pop(2)]=1,,,,,,
quar_confirm_t,quarantine_and_homeisolation,,text,"Date of policy change (contacts of confirmed cases)",,,date_dmy,2019-12-30,,,[quar_pop(2)]=1,y,,,,,
quar_suspect_status,quarantine_and_homeisolation,,dropdown,"What is the current status of quarantine measures for contacts of suspected cases?","0, none | 1, recommended | 2, required",,,,,,[quar_pop(3)]=1,y,,,,,
quar_suspect_duration,quarantine_and_homeisolation,,text,"How long (i.e. days since last exposure) does the quarantine last for contacts of suspected cases? ",,,number,0,,,[quar_pop(3)]=1,,,,,,
quar_suspect_t,quarantine_and_homeisolation,,text,"Date of policy change (contacts of suspected cases)",,,date_dmy,2019-12-30,,,[quar_pop(3)]=1,y,,,,,
quar_other_status,quarantine_and_homeisolation,,dropdown,"What is the current status of quarantine measures for the ""other"" population?","0, none | 1, recommended | 2, required",,,,,,[quar_pop(4)]=1,y,,,,,
quar_other_duration,quarantine_and_homeisolation,,text,"<div class=""rich-text-field-label""><p>How long (i.e. days since last exposure) does the quarantine last for the ""other"" population? <br /><br /><em><span style=""font-weight: normal;"">Describe other population in description field below</span></em></p></div>",,,number,0,,,[quar_pop(4)]=1,,,,,,
quar_other_t,quarantine_and_homeisolation,,text,"Date of policy change (other)",,,date_dmy,2019-12-30,,,[quar_pop(4)]=1,y,,,,,
quar_desc,quarantine_and_homeisolation,,notes,"Quarantine Details",,,,,,,"[quar_iso_choice] <> 2",,,,,,
iso_pop,quarantine_and_homeisolation,,checkbox,"For which populations have home-isolation measures changed since the last update?","1, suspected (symptomatic) cases | 2, non-hospitalized confirmed cases | 3, confirmed cases discharged from the hospital",,,,,,"[quar_iso_choice] <> 1",y,,,,,
iso_suspect_status,quarantine_and_homeisolation,,dropdown,"What is the current status of home-isolation measures for suspected cases?","0, none | 1, recommended | 2, required",,,,,,[iso_pop(1)]=1,y,,,,,
iso_suspect_t,quarantine_and_homeisolation,,text,"Date of policy change (suspected cases)",,"if rounding date, please make a note in details",date_dmy,,,,[iso_pop(1)]=1,y,,,,,
iso_confirm_status,quarantine_and_homeisolation,,dropdown,"What is the current status of home-isolation measures for non-hospitalized confirmed cases?","0, none | 1, recommended | 2, required",,,,,,[iso_pop(2)]=1,y,,,,,
iso_confirm_t,quarantine_and_homeisolation,,text,"Date of policy change (non-hospitalized confirmed cases)",,"if rounding date, please make a note in details",date_dmy,,,,[iso_pop(2)]=1,y,,,,,
iso_discharged_status,quarantine_and_homeisolation,,dropdown,"What is the current status of home-isolation measures for discharged confirmed cases?","0, none | 1, recommended | 2, required",,,,,,[iso_pop(3)]=1,y,,,,,
iso_discharged_t,quarantine_and_homeisolation,,text,"Date of policy change (discharged confirmed cases)",,"if rounding date, please make a note in details",date_dmy,,,y,[iso_pop(3)]=1,y,,,,,
isolation_desc,quarantine_and_homeisolation,,notes,"Home-Isolation Details",,,,,,,"[quar_iso_choice] <> 1",,,,,,
quar_iso_source,quarantine_and_homeisolation,,file,"Source document(s) ",,"Make a pdf from the source document(s) and upload here. If multiple documents create a .zip file and upload the zipped directory.",,,,,,y,,,,,
quar_iso_url,quarantine_and_homeisolation,,notes,"Please provide links (urls) to source document(s). If multiple, separate with a semi-colon.",,,,,,,,,,,,,
symp_screening_specific,symptom_screening,"Symptom Screening",checkbox,"What aspects of symptom screening policy have changed?","1, screening people coming in by air | 2, screening people coming in by land | 3, screening people coming in by sea| 4, screening at checkpoints within borders",,,,,,,,,,,,
symp_screening_air_status,symptom_screening,,dropdown,"What is the updated status on symptom screening for those arriving by air?","0, no policy | 1, recommended | 2, required | 9, unknown","no policy' is the same as lack of reccomendation for each type of screening",,,,,[symp_screening_specific(1)]=1,y,,,,," @HIDECHOICE='9'"
symp_screening_air_pop,symptom_screening,,dropdown,"To which population does this policy apply?","1, entire population | 2, geographic subpopulation | 3, other subpopulation",,,,,,[symp_screening_specific(1)]=1,y,,,,,
symp_screening_air_t,symptom_screening,,text,"Date of policy change",,,date_dmy,2019-12-30,,,"[symp_screening_specific(1)]=1 AND [symp_screening_air_status]<>9",y,,,,,
symp_screening_air_details,symptom_screening,,notes,Details,,,,,,,[symp_screening_specific(1)]=1,,,,,,
symp_screening_land_status,symptom_screening,,dropdown,"What is the updated status on symptom screening for those arriving by land?","0, no policy | 1, recommended | 2, required | 9, unknown",,,,,,[symp_screening_specific(2)]=1,y,,,,," @HIDECHOICE='9'"
symp_screening_land_pop,symptom_screening,,dropdown,"To which population does this policy apply?","1, entire population | 2, geographic subpopulation | 3, other subpopulation",,,,,,[symp_screening_specific(2)]=1,y,,,,,
symp_screening_land_t,symptom_screening,,text,"Date of policy change",,,date_dmy,2019-12-30,,,"[symp_screening_specific(2)]=1 AND [symp_screening_land_status]<>9",y,,,,,
symp_screening_land_details,symptom_screening,,notes,Details,,,,,,,[symp_screening_specific(2)]=1,,,,,,
symp_screening_sea_status,symptom_screening,,dropdown,"What is the updated status on symptom screening for those arriving by sea?","0, no policy | 1, recommended | 2, required | 9, unknown",,,,,,[symp_screening_specific(3)]=1,y,,,,," @HIDECHOICE='9'"
symp_screening_sea_pop,symptom_screening,,dropdown,"To which population does this policy apply?","1, entire population | 2, geographic subpopulation | 3, other subpopulation",,,,,,[symp_screening_specific(3)]=1,y,,,,,
symp_screening_sea_t,symptom_screening,,text,"Date of policy change",,,date_dmy,2019-12-30,,,"[symp_screening_specific(3)]=1 AND [symp_screening_sea_status]<>9",y,,,,,
symp_screening_sea_details,symptom_screening,,notes,Details,,,,,,,[symp_screening_specific(3)]=1,,,,,,
symp_screening_within_status,symptom_screening,,dropdown,"What is the updated status on symptom screening for those already within the borders?","0, no policy | 1, recommended | 2, required | 9, unknown","you will be able to specify sub-groups in the next question",,,,,[symp_screening_specific(4)]=1,y,,,,," @HIDECHOICE='9'"
symp_screening_within_pop,symptom_screening,,dropdown,"To which population does this policy apply?","1, random sample | 2, geographic subpopulation | 3, other subpopulation",,,,,,"[symp_screening_specific(4)]=1 AND [symp_screening_within_status]<>9",y,,,,,
symp_screening_within_t,symptom_screening,,text,"Date of policy change",,,date_dmy,2019-12-30,,,"[symp_screening_specific(4)]=1 AND [symp_screening_within_status]<>9",y,,,,,
symp_screening_within_details,symptom_screening,,notes,Details,,,,,,,[symp_screening_specific(4)]=1,,,,,,
symp_screening_source,symptom_screening,,file,"Source document(s) ",,"Make a pdf from the source document(s) and upload here. If multiple documents create a .zip file and upload the zipped directory.",,,,,"([symp_screening_specific(1)]=1 AND [symp_screening_air_status]<>9) OR
([symp_screening_specific(2)]=1 AND [symp_screening_land_status]<>9) OR
([symp_screening_specific(3)]=1 AND [symp_screening_sea_status]<>9) OR
([symp_screening_specific(4)]=1 AND [symp_screening_within_status]<>9)",y,,,,,
symp_screening_url,symptom_screening,,notes,url,,"(put yes if this first data entry for this admin unit)",,,,,"([symp_screening_specific(1)]=1 AND [symp_screening_air_status]<>9) OR
([symp_screening_specific(2)]=1 AND [symp_screening_land_status]<>9) OR
([symp_screening_specific(3)]=1 AND [symp_screening_sea_status]<>9) OR
([symp_screening_specific(4)]=1 AND [symp_screening_within_status]<>9)",,,,,,
school_closed_specific,school_closures,"School Closures",checkbox,"What has changed in terms of school closure policy?

Note: Age groups are only an approximation and may differ between regions.","1, nursery school closures (< 5 yrs) | 2, primary school closures (5 - 11 yrs) | 3, secondary school closures (12 - 18 yrs) | 4, post-secondary school closures (>18 yrs) | 9, unknown",,,,,,,y,,,,," @HIDECHOICE='9'"
nursery_school_closed_status,school_closures,,dropdown,"What is the updated status related to the closure of nursery schools?","0, closed | 1, partially closed | 2, open | 9, unknown",,,,,,[school_closed_specific(1)]=1,y,,,,," @HIDECHOICE='9'"
nursery_school_closed_pop,school_closures,,dropdown,"To which population does this policy apply?","1, entire population | 2, geographic subpopulation | 3, other subpopulation",,,,,,[school_closed_specific(1)]=1,y,,,,,
nursery_school_closed_req,school_closures,,dropdown,"Is any aspect of this policy mandatory (versus recommended)?","0, no | 1, yes | 9, unknown",,,,,,[school_closed_specific(1)]=1,y,,,,,
nursery_school_closed_t,school_closures,,text,"Date of policy change",,,date_dmy,2019-12-30,,,"([school_closed_specific(1)]=1 AND [nursery_school_closed_status] <> 9)",y,,,,,
nursery_school_closed_desc,school_closures,,notes,Details,,,,,,,[school_closed_specific(1)]=1,,,,,,
primary_school_closed_status,school_closures,,dropdown,"What is the updated status related to the closure of primary schools?","0, closed | 1, partially closed | 2, open | 9, unknown",,,,,,[school_closed_specific(2)]=1,y,,,,," @HIDECHOICE='9'"
primary_school_closed_pop,school_closures,,dropdown,"To which population does this policy apply?","1, entire population | 2, geographic subpopulation | 3, other subpopulation",,,,,,[school_closed_specific(2)]=1,y,,,,,
primary_school_closed_req,school_closures,,dropdown,"Is any aspect of this policy mandatory (versus recommended)?","0, no | 1, yes | 9, unknown",,,,,,[school_closed_specific(2)]=1,y,,,,,
