unique_id,record_id,update,entry_time,national_entry,country,country_name,admin1,admin1_name,locality,usa_county,intervention_group,intervention_name,date_of_update,status,status_simp,subpopulation,required,enforcement,size,duration,testing_population,details,url,source_document_url,entry_quality
7_entertainment,7,Update,2020-03-30 12:27:31,No,GBR,United Kingdom of Great Britain and Northern Ireland,GBR.1_1,England,NA,NA,entertainment_closed,"Leisure, entertainment, and religious venue closures",2020-03-23,closed,Strongly Implemented,entire population,required,NA,NA,NA,NA,"Exceptions for assembly and leisure (1) Small group performances for the purposes of live streaming could be permissible where Public Health England guidelines are observed and no audience attend the venue. (2) Any suitable assembly or leisure premises may open for blood donation sessions.Exception for places of worship (1) Funerals in places of worship and crematoria, where the congregation are members of the deceaseds household or close family. In a case where no members of the deceaseds household or family members are attending, friends can attend. A distance of two metres should be maintained between every household group, as per Public Health England guidelines. (2) For the purpose of hosting essential voluntary or public service, such as food banks, homeless services, and blood donation sessions.",https://www.gov.uk/government/publications/further-businesses-and-premises-to-close/further-businesses-and-premises-to-close-guidance,https://www.dropbox.com/s/ua1mztn9xmexkz5/7_entertainment_closed.pdf?dl=1,Verified
7_retail,7,Update,2020-03-30 16:14:42,No,GBR,United Kingdom of Great Britain and Northern Ireland,GBR.1_1,England,NA,NA,store_closed,Retail store closures (excluding essentials),2020-03-23,closed,Strongly Implemented,entire population,required,NA,NA,NA,NA,"Exceptions include Supermarkets and other food shops Medical services (such as dental surgeries, opticians and audiology clinics, physiotherapy clinics, chirpody and podiatry clinics, and other professional vocational medical services) Pharmacies and chemists, including nondispensing pharmacies Petrol stations Bicycle shops Hardware shops and equipment, plant and tool hire Veterinary surgeries and pet shops Agricultural supplies shops Corner shops and newsagents Offlicences and licenced shops selling alcohol, including those within breweries Laundrettes and dry cleaners Post offices Vehicle rental services Car garages and MOT services Car parks High street banks, building societies, shortterm loan providers, credit unions and cash points Storage and distribution facilities, including delivery drop off points where they are on the premises of any of the above businesses Public toilets Shopping centres may stay open but only units of the types listed above may trade",https://www.gov.uk/government/publications/further-businesses-and-premises-to-close/further-businesses-and-premises-to-close-guidance,https://www.dropbox.com/s/xqh5h2eb0yorawp/7_store_closed.pdf?dl=1,Verified
7_public_transport,7,Update,2020-03-30 16:29:44,No,GBR,United Kingdom of Great Britain and Northern Ireland,GBR.1_1,England,NA,NA,public_transport_closed,Public transportation closures,2020-03-23,partially closed,Partially Implemented,entire population,recommended,NA,NA,NA,NA,"From Monday 23 March, Network Rail will be running a reduced timetable to keep trains moving for essential workers and services. As of March 28, 2020, Arriva bus have had to reduce the frequency of some services.A reduced service is operating on all London Underground, London Overground, DLR, TfL Rail and London Trams.",https://www.bbc.com/news/health-51736185,https://www.dropbox.com/s/1ixe04mjv2ulrmt/7_public_transport_closed.zip?dl=1,Verified
7_public_space,7,Update,2020-03-30 17:04:27,No,GBR,United Kingdom of Great Britain and Northern Ireland,GBR.1_1,England,NA,NA,public_space_closed,Public space closures,2020-03-23,partially closed,Partially Implemented,entire population,required,NA,NA,NA,NA,"Outdoor markets closed except for market stalls which offer essential retail, such as grocery and food. Caravan parks closed unless people live permanently there. Libraries closed. Playgrounds, sports courts and pitches, and outdoor gyms or similar closed. National parks dont appear to be closed, but they strongly encourage people to stay home and not visit.",https://www.gov.uk/government/publications/further-businesses-and-premises-to-close/further-businesses-and-premises-to-close-guidance,https://www.dropbox.com/s/j1ctxo2rbtl8q9w/7_public_space_closed.zip?dl=1,Verified
7_gathering_size,7,Update,2020-03-30 20:41:01,No,GBR,United Kingdom of Great Britain and Northern Ireland,GBR.1_1,England,NA,NA,social_group_limits,Limiting size of gatherings,2020-03-23,required,Strongly Implemented,entire population,required,NA,2,NA,NA,Gatherings of more than two people have been banned in the UK to stop the spread of Covid19.,https://metro.co.uk/2020/03/23/gatherings-two-banned-uk-enters-coronavirus-lockdown-12445478/,https://www.dropbox.com/s/mdszaud7vl8s2xt/7_social_group_limits.pdf?dl=1,Verified
7_restaurant_closed,7,Update,2020-03-30 12:32:46,No,GBR,United Kingdom of Great Britain and Northern Ireland,GBR.1_1,England,NA,NA,restaurant_closed,Restaurant closures (excluding takeout/delivery),2020-03-23,closed,Strongly Implemented,entire population,required,NA,NA,NA,NA,"Restaurants and public houses, wine bars or other food and drink establishments including within hotels and members clubs closed.Exceptions to cafes and canteens being closed (1) Caf'es and canteens at hospitals, police and fire service places of work, care homes or schools; prison and military canteens; services providing food or drink to the homeless. (2) Where there are no practical alternatives, other workplace canteens can remain open to provide food for their staff and/or provide a space for breaks. However, where possible, staff should be encouraged to bring their own food, and distributors should move to takeaway. Measures should be taken to minimise the number of people in the canteen / break space at any one given time, for example by using a rota.",https://www.gov.uk/government/publications/further-businesses-and-premises-to-close/further-businesses-and-premises-to-close-guidance,https://www.dropbox.com/s/olauhf8fu4hlsl6/7_restaurant_closed.pdf?dl=1,Verified
11_symp_scrn_within,11,Update,2020-03-29 10:03:52,No,RUS,Russian Federation,RUS.43_1,Moscow City,NA,NA,symp_screening,Symptom screening at checkpoints within borders,2020-02-27,required,Strongly Implemented,other subpopulation,required,NA,NA,NA,NA,"A prikaz of Department of Education and Science of Moscow City orders schools to implement morning filters, which means that at entry to school, students are screened, including a temperature check. During the day, their health is supposed to be monitored, although its not specified how. Children with elevated temperature of other symptoms are to be isolated before their caregivers can take them home, and their information should be shared with a health clinic. ","https://www.mos.ru/donm/documents/normativnye-pravovye-akty/view/236081220/
https://www.mos.ru/news/item/70458073/ ",https://www.dropbox.com/s/w8kqhi2801lgazr/11_symp_screening.zip?dl=1,Verified
12_symp_scrn_within,12,Update,2020-03-29 10:22:28,No,RUS,Russian Federation,RUS.43_1,Moscow City,NA,NA,symp_screening,Symptom screening at checkpoints within borders,2020-03-02,required,Strongly Implemented,random sample,required,NA,NA,NA,NA,Could have been implemented a little before this date; unclear exactly when. Screening of a sample of people at entrance to the metro in Moscow ,https://www.sobyanin.ru/podtverzhden-sluchai-novoi-koronavirusnoi-infektsii,https://www.dropbox.com/s/nemm5ja3xl281h3/12_symp_screening.pdf?dl=1,Verified
13_symp_scrn_within,13,Update,2020-03-29 10:27:33,No,RUS,Russian Federation,RUS.43_1,Moscow City,NA,NA,symp_screening,Symptom screening at checkpoints within borders,2020-03-02,recommended,Partially Implemented,other subpopulation,recommended,NA,NA,NA,NA,Recommendation to employees to measure temperature of their employees,https://www.sobyanin.ru/podtverzhden-sluchai-novoi-koronavirusnoi-infektsii,https://www.dropbox.com/s/i3vrihdf5wyt8dt/13_symp_screening.pdf?dl=1,Verified
14_nursery_school,14,Update,2020-03-29 10:49:07,No,RUS,Russian Federation,RUS.43_1,Moscow City,NA,NA,school_closed,Nursery school closures,2020-03-14,partially closed,Partially Implemented,entire population,recommended,NA,NA,NA,NA,"Free visit parents can decide whether their children come to school or not, rather than attendance being mandatory. ",https://www.mos.ru/upload/documents/docs/20-YM.pdf,https://www.dropbox.com/s/o5qmizo492v7saq/14_school_closed.pdf?dl=1,Verified
14_primary_school,14,Update,2020-03-29 10:49:07,No,RUS,Russian Federation,RUS.43_1,Moscow City,NA,NA,school_closed,Primary school closures,2020-03-14,partially closed,Partially Implemented,entire population,recommended,NA,NA,NA,NA,"Free visit parents can decide whether their children come to school or not, rather than attendance being mandatory. ",https://www.mos.ru/upload/documents/docs/20-YM.pdf,https://www.dropbox.com/s/o5qmizo492v7saq/14_school_closed.pdf?dl=1,Verified
14_sec_school,14,Update,2020-03-29 10:49:07,No,RUS,Russian Federation,RUS.43_1,Moscow City,NA,NA,school_closed,Secondary school closures,2020-03-14,partially closed,Partially Implemented,entire population,recommended,NA,NA,NA,NA,"Free visit parents can decide whether their children come to school or not, rather than attendance being mandatory. ",https://www.mos.ru/upload/documents/docs/20-YM.pdf,https://www.dropbox.com/s/o5qmizo492v7saq/14_school_closed.pdf?dl=1,Verified
14_gathering_size,14,Update,2020-03-29 10:50:46,No,RUS,Russian Federation,RUS.43_1,Moscow City,NA,NA,social_group_limits,Limiting size of gatherings,2020-03-10,required,Strongly Implemented,entire population,required,NA,5000,NA,NA,Ban on mass gatherings and events of more than 5000 participants; anticipated to last until April 10 2020. ,https://www.mos.ru/upload/documents/docs/17-YMot10032020(2).pdf,https://www.dropbox.com/s/zc27pnncxf4w5tg/14_social_group_limits.pdf?dl=1,Verified
14_symp_scrn_within,14,Update,2020-03-29 10:45:30,No,RUS,Russian Federation,RUS.43_1,Moscow City,NA,NA,symp_screening,Symptom screening at checkpoints within borders,2020-03-05,required,Strongly Implemented,geographic subpopulation,required,NA,NA,NA,NA,"Employers are not required (not just recommended) to screen at workplace, including temperature. Employees with elevated temperature or other symptoms are to be sent home.",https://www.mos.ru/upload/documents/docs/12-YM.pdf,https://www.dropbox.com/s/kgfnicakvx98ux6/14_symp_screening.pdf?dl=1,Verified
17_emergency,17,Update,2020-04-14 23:18:14,No,CHN,China,CHN.6_1,Guangdong,NA,NA,state_of_emergency,State of emergency,2020-01-23,yes,Strongly Implemented,NA,NA,NA,NA,NA,NA,Level 1 emergency response level effective in Guangdong province,"http://wsjkw.gd.gov.cn/zwyw_yqxx/content/post_2878895.html
",https://www.dropbox.com/s/d0r7euel9jcw6jj/17_state_of_emergency.pdf?dl=1,Verified
19_screening_air,19,Update,2020-03-29 14:37:39,Yes,MWI,Malawi,NA,NA,NA,NA,symp_screening,Symptom screening when entering by air,2020-01-31,required,Strongly Implemented,entire population,required,NA,NA,NA,NA,"Screening of all people coming through borders. Information sourced from contacts within the MoH. 1.	Ask all passengers to stand on a queue before entering the passport control area.2.	Ask all passengers to wash hands with either alcohol based sanitizer,0.05% Chlorine solution or Soap and Water3.	Take temperature readings for all passengers and screen for other symptoms i.e. cough, difficulty breathing, runny nose 4.	Use the PoE screening algorithm for passenger flow5.	Ask the passengers (one by one) to submit their filled Traveller Health Declaration Form.6.	 Isolate those coming China and other Coronavirus affected areas such as for further screening/investigation.	Ask if the person has any of the following signs of illness Fever, headache, cough, sore throat, runny nose, difficulties in breathing	Ask if the person had contact with a sick person in the past 14 days	Ask for the persons contact details while in Malawi (Ensure Traveller Health Declaration Form attached below is adequately filled).	Ask the person to report to any nearest health facility if he/she develops any signs of illness and to explain to the clinician their recent travel history.",NA,https://www.dropbox.com/s/1quqfpvkfc1yx5y/19_symp_screening.zip?dl=1,Verified
19_symp_scrn_land,19,Update,2020-03-29 14:37:39,Yes,MWI,Malawi,NA,NA,NA,NA,symp_screening,Symptom screening when entering by land,2020-01-31,required,Strongly Implemented,entire population,required,NA,NA,NA,NA,"Screening of all people coming through borders. Information sourced from contacts within the MoH. 1.	Ask all passengers to stand on a queue before entering the passport control area.2.	Ask all passengers to wash hands with either alcohol based sanitizer,0.05% Chlorine solution or Soap and Water3.	Take temperature readings for all passengers and screen for other symptoms i.e. cough, difficulty breathing, runny nose 4.	Use the PoE screening algorithm for passenger flow5.	Ask the passengers (one by one) to submit their filled Traveller Health Declaration Form.6.	 Isolate those coming China and other Coronavirus affected areas such as for further screening/investigation.	Ask if the person has any of the following signs of illness Fever, headache, cough, sore throat, runny nose, difficulties in breathing	Ask if the person had contact with a sick person in the past 14 days	Ask for the persons contact details while in Malawi (Ensure Traveller Health Declaration Form attached below is adequately filled).	Ask the person to report to any nearest health facility if he/she develops any signs of illness and to explain to the clinician their recent travel history.",NA,https://www.dropbox.com/s/1quqfpvkfc1yx5y/19_symp_screening.zip?dl=1,Verified
20_testing_symp,20,Update,2020-03-29 14:52:42,Yes,MWI,Malawi,NA,NA,NA,NA,testing_symp,Testing of symptomatic individuals,2020-03-19,all,Strongly Implemented,NA,NA,NA,NA,NA,NA,"All suspected cases supposed to be tested, including those identified at the border.SUSPECT CASEA.	Patients with acute respiratory illness (FEVER and at least one sign/symptom of respiratory disease (e.g. cough, difficulties in breathing)), AND with no other etiology that fully explains the clinical presentation1 AND at least one of the following	a history of travel to or residence in a country, area or territory reporting local transmission of COVID19 during the 14 days prior to symptom onset, or	is a health care worker or any person who has been working in an environment where COVID19 cases are being managed.B.	A patient with any acute respiratory illness AND having been in contact2 with a confirmed or probable COVID19 case in the last 14 days prior to onset of symptoms;ORC.	A patient with severe acute respiratory infection (fever and at least one sign/symptom of respiratory disease (e.g., cough, shortness breath) AND requiring hospitalization AND with no other etiology that fully explains the clinical presentation.Note these recs were made 31Jan but no testing was in place until 19March. ",NA,https://www.dropbox.com/s/ndcqyucqxfp7u2w/20_testing_symp.doc?dl=1,Verified
22_limit_mvt,22,Update,2020-03-29 14:57:34,No,USA,United States of America,USA.5_1,California,NA,NA,limited_mvt,Limiting movement within borders,2020-01-31,partially restricted,Partially Implemented,other subpopulation,NA,NA,NA,NA,NA,"Travelers at high risk for exposure are quarantined. Limit entry to necessary persons and family/friends. Restrict movement and exposure of highrisk individuals. Restrict entry for individuals with potential COVID19 exposure, confirmed cases status, or who has recently traveled internationally. Staff should take care to protect themselves.",NA,https://www.dropbox.com/s/krrzdegd3flro6s/22_limited_mvt.zip?dl=1,Verified
22_confinement,22,Update,2020-03-29 15:00:12,No,USA,United States of America,USA.5_1,California,NA,NA,household_confined,Household confinement,2020-03-16,partially restricted,Partially Implemented,other subpopulation,recommended,No,NA,NA,NA,Older adults and others with elevated risk or chronic diseases recommended to remain at home,NA,https://www.dropbox.com/s/d95dvpzoe0kgusx/22_household_confined.pdf?dl=1,Verified
22_offices,22,Update,2020-03-29 15:07:58,No,USA,United States of America,USA.5_1,California,NA,NA,office_closed,Office closures,2020-03-19,closed,Strongly Implemented,entire population,required,NA,NA,NA,NA,All nonessential businesses must close.,NA,https://www.dropbox.com/s/a0vn40l04v9qo29/22_office_closed.pdf?dl=1,Verified
22_entertainment,22,Update,2020-03-29 15:09:09,No,USA,United States of America,USA.5_1,California,NA,NA,entertainment_closed,"Leisure, entertainment, and religious venue closures",2020-03-13,partially closed,Partially Implemented,entire population,recommended,NA,NA,NA,NA,"Guidelines from CDPH for limiting customers, increasing social distancing, increasing cleaning, and eliminating events for vulnerable individuals for gambling, theme parks and attractions, and theaters.",NA,https://www.dropbox.com/s/yxg4m0vpsi961mg/22_entertainment_closed.pdf?dl=1,Verified
22_retail,22,Update,2020-03-29 15:11:50,No,USA,United States of America,USA.5_1,California,NA,NA,store_closed,Retail store closures (excluding essentials),2020-03-19,closed,Strongly Implemented,entire population,required,NA,NA,NA,NA,All nonessential businesses must close.,NA,https://www.dropbox.com/s/tbax4svotmnx13q/22_store_closed.pdf?dl=1,Verified
22_public_space,22,Update,2020-03-29 15:12:29,No,USA,United States of America,USA.5_1,California,NA,NA,public_space_closed,Public space closures,2020-03-17,partially closed,Partially Implemented,entire population,required,NA,NA,NA,NA,All campgrounds closed.,NA,https://www.dropbox.com/s/l46v3kve3hn0kfx/22_public_space_closed.pdf?dl=1,Verified
22_gathering_size,22,Update,2020-03-29 15:14:06,No,USA,United States of America,USA.5_1,California,NA,NA,social_group_limits,Limiting size of gatherings,2020-03-11,required,Strongly Implemented,entire population,required,NA,250,NA,NA,"The states public health experts have determined that gatherings should be postponed or canceled across the state until at least the end of March. Nonessential gatherings must be limited to no more than 250 people, while smaller events can proceed only if the organizers can implement social distancing of 6 feet per person. Gatherings of individuals who are at higher risk for severe illness from COVID19 should be limited to no more than 10 people, while also following social distancing guidelines.",NA,https://www.dropbox.com/s/6fmsk2fgwv3zihz/22_social_group_limits.zip?dl=1,Verified
22_contact_tracing,22,Update,2020-03-29 15:18:30,No,USA,United States of America,USA.5_1,California,NA,NA,contact_tracing,Contact tracing,2020-02-26,partial contact tracing,Partially Implemented,NA,NA,NA,NA,NA,NA,Contact tracing initiated after first community spread of disease. From news article Contacts being monitored. Testing for healthcare workers who came in contact with case and quarantine.,NA,https://www.dropbox.com/s/or70i6fty0hf3tc/22_contact_tracing.zip?dl=1,Verified
22_testing_symp,22,Update,2020-03-29 15:22:13,No,USA,United States of America,USA.5_1,California,NA,NA,testing_symp,Testing of symptomatic individuals,2020-01-31,some,Partially Implemented,NA,NA,NA,NA,NA,symptom severity;travel history;other,Testing recommended for travelers at high risk for exposure but doctors allowed to make exceptions. First community spread case tested after multiple days of refused testing because she had not traveled to affected areas.,NA,https://www.dropbox.com/s/5cz6k9l1tsxksi9/22_testing_symp.zip?dl=1,Verified
22_testing_asymp,22,Update,2020-03-29 15:24:11,No,USA,United States of America,USA.5_1,California,NA,NA,testing_asymp,Testing of asymptomatic individuals,2020-01-31,some,Partially Implemented,NA,NA,NA,NA,NA,travel history,All individuals traveling from affected areas have been tested for virus.,NA,https://www.dropbox.com/s/lvwkx1gyw4whuzv/22_testing_asymp.zip?dl=1,Verified
22_emergency,22,Update,2020-03-29 15:26:02,No,USA,United States of America,USA.5_1,California,NA,NA,state_of_emergency,State of emergency,2020-03-04,yes,Strongly Implemented,NA,NA,NA,NA,NA,NA,NA,NA,https://www.dropbox.com/s/uqbbb3pgt5xz5pb/22_state_of_emergency.pdf?dl=1,Verified
22_restaurant_closed,22,Update,2020-03-29 15:11:14,No,USA,United States of America,USA.5_1,California,NA,NA,restaurant_closed,Restaurant closures (excluding takeout/delivery),2020-03-16,closed,Strongly Implemented,entire population,required,NA,NA,NA,NA,"Retail beverage places and food service places should close except for delivery and takeout. Does not apply to food trucks, grocery stores, farmers markets, and charitable food distribution sites. Guidance is provided for the latter businesses.",NA,https://www.dropbox.com/s/l97jc9qkt3t3ijk/22_restaurant_closed.pdf?dl=1,Verified
23_screening_air,23,Update,2020-03-29 15:30:44,Yes,USA,United States of America,NA,NA,NA,NA,symp_screening,Symptom screening when entering by air,2020-01-17,required,Strongly Implemented,geographic subpopulation,required,NA,NA,NA,NA,"Screening travelers from Wuhan, China at SFO, LAX, and JFK",NA,https://www.dropbox.com/s/u2egd1gow2hy2yz/23_symp_screening.zip?dl=1,Verified
24_confinement,24,Update,2020-03-29 15:32:42,No,USA,United States of America,USA.5_1,California,NA,NA,household_confined,Household confinement,2020-03-19,fully restricted,Strongly Implemented,entire population,required,No,NA,NA,NA,All Californians are ordered to stay home except for necessary activities.,NA,https://www.dropbox.com/s/krhkdqks4on4dlb/24_household_confined.pdf?dl=1,Verified
24_entertainment,24,Update,2020-03-29 15:33:22,No,USA,United States of America,USA.5_1,California,NA,NA,entertainment_closed,"Leisure, entertainment, and religious venue closures",2020-03-16,closed,Strongly Implemented,entire population,required,NA,NA,NA,NA,"Gyms, health clubs, and theaters should be closed.",NA,https://www.dropbox.com/s/uhctov29v7mon8n/24_entertainment_closed.pdf?dl=1,Verified
24_public_space,24,Update,2020-03-29 15:34:13,No,USA,United States of America,USA.5_1,California,NA,NA,public_space_closed,Public space closures,2020-03-24,partially closed,Partially Implemented,entire population,required,NA,NA,NA,NA,Restricting vehicular traffic to some state parks.,NA,https://www.dropbox.com/s/ezwenjct1ntreyw/24_public_space_closed.pdf?dl=1,Verified
24_gathering_size,24,Update,2020-03-29 15:35:00,No,USA,United States of America,USA.5_1,California,NA,NA,social_group_limits,Limiting size of gatherings,2020-03-16,required,Strongly Implemented,entire population,required,NA,NA,NA,NA,All gatherings should be postponed or cancelled. No limit on the number of people in a gathering.,NA,https://www.dropbox.com/s/iqhowuzsoh88i7k/24_social_group_limits.pdf?dl=1,Verified
24_testing_symp,24,Update,2020-03-29 15:36:03,No,USA,United States of America,USA.5_1,California,NA,NA,testing_symp,Testing of symptomatic individuals,2020-03-05,some,Partially Implemented,NA,NA,NA,NA,NA,symptom severity;hospitalization;travel history;contact with case;other potential exposure,"If you are experiencing symptoms of COVID19 and may have had contact with a person with COVID19 or recently traveled to countries with apparent community spread, call your health care provider or local public health department first before seeking medical care. Free medically necessary testing made available to Californians.",NA,https://www.dropbox.com/s/xhg78958fqrcr0e/24_testing_symp.pdf?dl=1,Verified
25_public_space,25,Update,2020-03-29 15:39:34,No,USA,United States of America,USA.5_1,California,NA,NA,public_space_closed,Public space closures,2020-03-26,partially closed,Partially Implemented,entire population,required,NA,NA,NA,NA,Additional restriction of vehicular traffic to more state parks. High public use indoor facilities ordered closed. All events in state parks have been canceled.,NA,https://www.dropbox.com/s/65l0uzk64nmy4fq/25_public_space_closed.zip?dl=1,Verified
26_screening_air,26,Update,2020-03-29 16:13:19,No,CAN,Canada,CAN.2_1,British Columbia,NA,NA,symp_screening,Symptom screening when entering by air,2020-01-21,recommended,Partially Implemented,entire population,recommended,NA,NA,NA,NA,"In coordination with the Public Health Agency of Canada, our public health teams are responding by closely monitoring the situation and have implemented screening for early detection of infections for individuals arriving in airports. Quarantine officers are available at Vancouver International Airport to coordinate any response required, and Richmond Hospital infection control practitioners are ready to respond to any potential scenario where a patient may require further investigation.",https://news.gov.bc.ca/releases/2020HLTH0010-000102,https://www.dropbox.com/s/883g2nb532coazs/26_symp_screening.pdf?dl=1,Verified
27_contact_tracing,27,Update,2020-03-29 16:43:47,No,CAN,Canada,CAN.2_1,British Columbia,NA,NA,contact_tracing,Contact tracing,2020-01-28,partial contact tracing,Partially Implemented,NA,NA,NA,NA,NA,NA,"Following 1st case in the province, Public health officials are in regular contact with the individual and a small number of close contacts. He is in isolation at home.",https://news.gov.bc.ca/releases/2020HLTH0015-000151,https://www.dropbox.com/s/zsjxo2kyrr9lorp/27_contact_tracing.pdf?dl=1,Verified
